,horizon,mse,rmse,mae,mape,mdape,smape,coverage
95,197 days,0.18430154597923756,0.42930355924361674,0.3437207443899626,0.040337301652262875,0.03171742475208368,0.04070074262894399,0.9629629629629629
102,211 days,0.18338810694667268,0.42823837631239065,0.344479902132388,0.040321391898681155,0.03382910021043382,0.04079589618540853,0.9259259259259259
94,196 days,0.1890849488207558,0.434838991835778,0.34914137690314245,0.04085145973465677,0.03171742475208368,0.04132280275435171,0.9629629629629629
79,169 days,0.2605096540925649,0.5104014636465739,0.349305304096701,0.04076351942950788,0.02529310020083428,0.04054346896159746,0.8888888888888888
136,269 days,0.22464845481203846,0.473970943003934,0.3530626076174362,0.04026051560891636,0.027683090239106485,0.04096512234602875,0.8888888888888888
31,89 days,0.21787963533743884,0.4667757870085367,0.35747392219857377,0.03953475789511028,0.031732912076107705,0.04009481848487447,0.8148148148148148
135,268 days,0.22910870965901942,0.4786530159301406,0.3602460759448754,0.04110830124663588,0.02793249840463796,0.041844223558893105,0.8888888888888888
16,64 days,0.2313676529416816,0.4810069156900778,0.3639960040296059,0.04069376190871289,0.0319602561305223,0.04076809036683581,0.6481481481481481
103,212 days,0.20241860158632427,0.4499095482275568,0.3649667208877367,0.042969691848925455,0.0362098196190099,0.0432987990184928,0.8888888888888888
78,167 days,0.27587298161671475,0.5252361198705918,0.36581478399392914,0.0426421332672684,0.025517728917281185,0.042521318885666265,0.8888888888888888
30,88 days,0.22240877544890256,0.4716023488585511,0.3682372271673106,0.04078972694769627,0.035235542265949486,0.041381076203744614,0.7777777777777778
12,58 days,0.2894661277447269,0.5380205644254937,0.3702546048005799,0.04161377154112427,0.031696660706861376,0.04132421451404122,0.6666666666666666
8,52 days,0.28543670523126513,0.5342627679627929,0.3704999564934488,0.04180736110692372,0.03031423522066447,0.041471313518213614,0.6666666666666666
134,265 days,0.23471019048212421,0.48446897783255866,0.3715944453448172,0.04231257245635697,0.0292808847265156,0.043068293928561735,0.8703703703703703
93,195 days,0.22993210580410647,0.47951236251436363,0.372661750077242,0.04378229036480516,0.03171742475208368,0.044732705377953874,0.9629629629629629
118,239 days,0.21747099607813508,0.466337856149525,0.37269648167117453,0.042918581283387,0.036900980656614166,0.0435432883841479,0.8518518518518519
104,216 days,0.20987788770863217,0.45812431468830833,0.3758297827392455,0.04423732796575961,0.04437199276762285,0.044623074476446214,0.8888888888888888
113,232 days,0.2150061166644539,0.4636875204967823,0.3767715060358044,0.04367105093885482,0.04193745460243445,0.04413574596096165,0.8518518518518519
114,233 days,0.21613733817810316,0.464905730420806,0.3782302566581098,0.04371067321198686,0.04193745460243445,0.04425668536699773,0.8518518518518519
9,53 days,0.2894316747711662,0.5379885452044181,0.3786148279264268,0.04270235723146877,0.031696660706861376,0.04240405186906831,0.6296296296296297
13,59 days,0.2991361661747818,0.5469334202394125,0.37871564801967916,0.042652123522156256,0.031696660706861376,0.04229887477934212,0.6666666666666666
23,75 days,0.22757675273776426,0.477050052654608,0.3789356288851185,0.041870036284980774,0.031732912076107705,0.042509267718957265,0.7037037037037037
119,242 days,0.22154498733764663,0.4706856566092137,0.37924295898789556,0.04363451012697141,0.04193745460243445,0.044213446417984185,0.8518518518518519
29,85 days,0.23222177234765884,0.481893943049359,0.3800597472557609,0.04199823848958933,0.03877617059553041,0.04268173998143387,0.7592592592592593
19,69 days,0.2280881299178129,0.4775857304378062,0.38014764944831164,0.04210417906823804,0.03284091403993727,0.043064866368014286,0.6296296296296297
15,63 days,0.2941639790085844,0.5423688588115881,0.38061955915327544,0.04275565637303777,0.0319602561305223,0.042280321374021726,0.6481481481481481
20,72 days,0.2279168343497132,0.4774063618655633,0.3807512163425547,0.0421391823753115,0.03284091403993727,0.043098580305271014,0.6296296296296297
132,262 days,0.23969587338169906,0.4895874522306501,0.3814954496625774,0.043457971314966704,0.029797791788256187,0.0441534046010089,0.8518518518518519
24,77 days,0.22853035250209455,0.4780484834220213,0.3821139139319584,0.042217143337136546,0.031732912076107705,0.04286355255057577,0.7037037037037037
106,218 days,0.2165372473593923,0.4653356287233896,0.3821821132361402,0.04497066968429789,0.04445564202022114,0.04544740494472155,0.9259259259259259
21,73 days,0.22822410413067196,0.47772806504398707,0.3825988801847725,0.042359141018589994,0.03284091403993727,0.04329752269264727,0.6296296296296297
137,270 days,0.25933669585392843,0.5092511127665098,0.3827941537135707,0.0440528577901655,0.02793249840463796,0.04437168535006282,0.8888888888888888
66,146 days,0.22644951576123462,0.4758671198572503,0.3833139522391696,0.0443207416894052,0.04769800467305654,0.044317487315528044,0.7777777777777778
26,80 days,0.23316006742168977,0.4828665109755384,0.3833718619091122,0.04235396456305301,0.03877617059553041,0.04296483448952583,0.7407407407407407
22,74 days,0.22972799675774877,0.47929948545533485,0.3835394623203924,0.04237534211921095,0.03284091403993727,0.04304163979725924,0.6666666666666666
115,234 days,0.2181271761886584,0.46704087207508765,0.3838411957005014,0.04434511092603117,0.04193745460243445,0.04490756561536265,0.8518518518518519
133,264 days,0.24185302515056548,0.49178554792771767,0.3854131603109898,0.04389482361663219,0.029797791788256187,0.04464227166913893,0.8518518518518519
10,54 days,0.29419391175268156,0.542396452562774,0.386371620502572,0.04359200343917241,0.03193501562790573,0.04334021474561627,0.6296296296296297
117,238 days,0.22346149914555802,0.4727171449667951,0.3866734003779048,0.04445355704321924,0.04193745460243445,0.045042753369756196,0.8518518518518519
112,228 days,0.22332243738979632,0.47257003437564293,0.38699810925314787,0.044948803116031985,0.043084425544323665,0.04531115734998399,0.8888888888888888
27,82 days,0.23558295865308612,0.48536888925134675,0.38708729610086495,0.04274588004034611,0.04134454140797917,0.04337166118166221,0.7407407407407407
77,165 days,0.29763558083866526,0.5455598783256199,0.3872083501554399,0.04506687633294631,0.028495425620158252,0.04512218867751095,0.8703703703703703
28,84 days,0.23564760221614275,0.48543547688250266,0.38808325061737187,0.04291487542021935,0.04134454140797917,0.04358332805705382,0.7407407407407407
11,57 days,0.2964453705571317,0.5444679701847774,0.38986230452771276,0.043885218088992414,0.0319602561305223,0.04364389017825206,0.6111111111111112
75,161 days,0.30395934796040924,0.5513250837395386,0.3900556467606578,0.04567979010710888,0.028495425620158252,0.045862182338959716,0.8518518518518519
138,273 days,0.2620014202738949,0.5118607430482386,0.39023734351786454,0.04500736818291814,0.029797791788256187,0.04529423795750568,0.8888888888888888
25,79 days,0.23560783300981664,0.48539451275206713,0.3903528404003307,0.043140373260075034,0.03877617059553041,0.04373294547338567,0.7037037037037037
73,159 days,0.29963398519782874,0.5473883312583753,0.39127417090584465,0.04574881679306037,0.028495425620158252,0.04532280956899795,0.8518518518518519
14,62 days,0.306713754555805,0.5538174379304114,0.39329781221385757,0.04424741156096701,0.0319602561305223,0.043848178080280506,0.6296296296296297
107,221 days,0.22755154847339212,0.477023635130789,0.39397750163587797,0.046204309417997365,0.04477550163574937,0.0467490348569243,0.8888888888888888
32,90 days,0.2653783118591797,0.5151488249614665,0.3943656664641473,0.04413642105729889,0.031732912076107705,0.04424742489743541,0.8148148148148148
76,164 days,0.3097321044898217,0.556535807014986,0.39571614221340956,0.045998059033995446,0.028495425620158252,0.04629390931310605,0.8518518518518519
33,93 days,0.26560351062094023,0.5153673550206107,0.39621789822518283,0.04437907183544599,0.031732912076107705,0.04449197761662821,0.8148148148148148
116,237 days,0.2278990258309934,0.47738771018009396,0.3981885725792217,0.04580998588404371,0.043084425544323665,0.04642909349525166,0.8148148148148148
131,260 days,0.24861981994392093,0.4986179097705185,0.3982905660250449,0.0453910920285349,0.032694695433062436,0.046028537997232284,0.8518518518518519
74,160 days,0.32293847812111975,0.5682767619049012,0.4030993590743644,0.04724372559600117,0.028495425620158252,0.047290564266689,0.8518518518518519
105,217 days,0.23453516756610926,0.4842883103752446,0.406153959501153,0.047964155943827184,0.04477550163574937,0.048307650111162705,0.8888888888888888
35,95 days,0.2672578629896026,0.5169698859601036,0.4062779136090237,0.04547185713008842,0.035235542265949486,0.045661177783142194,0.8148148148148148
71,155 days,0.30636807378901265,0.5535052608503488,0.407739679122524,0.047592774335710804,0.028642290623620646,0.04687650054463779,0.8148148148148148
36,98 days,0.2681717217927298,0.5178529924531959,0.4091188438445612,0.04608276057579729,0.03954571172756013,0.04638542964035544,0.8518518518518519
65,145 days,0.24959720546962333,0.49959704309535635,0.40990292034547204,0.04755427453696695,0.04769800467305654,0.04738307630022461,0.7407407407407407
130,259 days,0.25260749922135334,0.5026007353967494,0.41038666180084393,0.04675142267109765,0.036900980656614166,0.047364109672883924,0.8518518518518519
64,143 days,0.2611742021513717,0.5110520542482652,0.4129961678143863,0.0480073405533204,0.04769800467305654,0.04766431214365176,0.7777777777777778
70,154 days,0.31344617077578074,0.5598626356310812,0.41531638780129004,0.04846133603297957,0.04939819305261585,0.04769793779964002,0.8148148148148148
34,94 days,0.27833938221793403,0.5275787924262442,0.4163600989455094,0.046597548614486894,0.035235542265949486,0.046633706968762734,0.8148148148148148
108,222 days,0.2752313276367606,0.5246249399683174,0.41641596223627353,0.048670339856807854,0.04445564202022114,0.04963695370702252,0.8888888888888888
120,243 days,0.25472835117478076,0.5047062028297065,0.4169918236846713,0.04838218153801772,0.043084425544323665,0.048712661730219126,0.8148148148148148
72,156 days,0.31690962933970873,0.5629472704789577,0.41706689483553633,0.048676787007550106,0.028642290623620646,0.04814877182696007,0.8148148148148148
111,227 days,0.2591741387642074,0.5090914836885483,0.41825573563286017,0.04853956041708489,0.04445564202022114,0.04919339096345782,0.8888888888888888
122,247 days,0.261314693086734,0.5111894884352906,0.4222561645722529,0.049081286334708374,0.043084425544323665,0.04945024995327419,0.8148148148148148
139,274 days,0.2977589789104175,0.5456729596657851,0.42311178280901224,0.04918641122697478,0.032694695433062436,0.049194793922664556,0.8518518518518519
63,141 days,0.2669525908814314,0.5166745502552177,0.42312946813236335,0.04915216422123554,0.04769800467305654,0.0488465846289415,0.7777777777777778
68,150 days,0.32078017514367946,0.5663745890695304,0.42420339618977493,0.049191794907997216,0.04939819305261585,0.04850224868753354,0.8148148148148148
123,248 days,0.2608904060859183,0.5107743201120416,0.42454219179546954,0.0493238690778371,0.043711537639691586,0.04986311399867867,0.8333333333333334
109,223 days,0.28013721511594647,0.5292799024296563,0.42596105637375054,0.049601878912136244,0.04445564202022114,0.05059400037593767,0.8888888888888888
41,106 days,0.2857781801362392,0.5345822482427182,0.42779410072749763,0.04862250363954926,0.03954571172756013,0.04831792614062512,0.8888888888888888
69,151 days,0.32142416534145424,0.5669428236969353,0.4283804663341978,0.05000322152684187,0.04939819305261585,0.049185948346766845,0.8148148148148148
121,244 days,0.2683981365219395,0.5180715554071074,0.43029394039599494,0.049893829472135116,0.043711537639691586,0.050322301925189855,0.8148148148148148
38,100 days,0.30855647382494944,0.5554785988901367,0.4313503522225384,0.04844776039211834,0.03954571172756013,0.04900296157553149,0.8518518518518519
